question,expected_players,agent_answer,is_correct
"Who are the 5 defensive midfielders with the highest pass completion rate, taller than 180 cm, and worth under 2 million euros?","Julian Weigl, Rodrigo Hernández Cascante, José Vicente Gómez Umpiérrez, Seydou Keita, Joan Jordán Moreno","Here are the 5 defensive midfielders with the highest pass completion rate, taller than 180 cm, and worth under 2 million euros:

1. **Julian Weigl**
   - Team: Borussia Dortmund
   - Market Value: 1,500,000 euros
   - Pass Completion Rate: 92.26%
   - Height: 186 cm

2. **Rodrigo Hernández Cascante**
   - Team: Villarreal
   - Market Value: 500,000 euros
   - Pass Completion Rate: 88.00%
   - Height: 182 cm

3. **José Vicente Gómez Umpiérrez**
   - Team: Las Palmas
   - Market Value: 1,200,000 euros
   - Pass Completion Rate: 87.73%
   - Height: 188 cm

4. **Seydou Kéita**
   - Team: AS Roma
   - Market Value: 1,700,000 euros
   - Pass Completion Rate: 87.34%
   - Height: 183 cm

5. **Joan Jordán Moreno**
   - Team: Espanyol
   - Market Value: 600,000 euros
   - Pass Completion Rate: 86.79%
   - Height: 184 cm",True
Give me 5 center midfielders under 26 with the highest progressive carries per 90 minutes.,"László Kleinheisler, Panagiotis Giorgios Kone, Cameron Brannagan, İlkay Gündoğan, Panagiotis Tachtsidis",The radar chart for László Kleinheisler has been generated based on his performance metrics.,True
Give me the 5 strikers with the most non-blocked shots per 90 minutes and a value below 10 million euros.,"Marcello Trotta, Nikica Jelavić, Francesco Totti, Florian Niederlechner, Alberto Mateus Contreiras Gonçalves",Here is the radar chart for Marcello Trotta's performance.,True
"Give me the 5 center backs with the highest number of ball recoveries per 90 minutes, aged 28 or older.","Medhi Amine El Mouttaqi Benatia, Dario Dainelli, Giovanni Marchese, Vasyl Pryyma, João Miranda de Souza Filho","The radar chart for the player ""Medhi Amine El Mouttaqi Benatia"" has been generated successfully.",True
Find the top 5 offensive midfielders with the most chances created per 90 minutes.,"Alexander Baumjohann, Miloš Jojić, Kevin-Prince Boateng, Mesut Özil, Allan Saint-Maximin",Here is the radar chart for Alexander Baumjohann's performance.,True
Give me 5 side backs under 25 years old with the highest number of crosses per 90 minutes.,"Federico Mattiello, Davide Zappacosta, Kieran Trippier, Gilberto Moraes Junior, Alex Sandro Lobo Silva",Here is the radar chart for Federico Mattiello's performance.,True
"Find the top 5 goalkeepers with the highest save percentage, considering only those who have played more than 850 minutes.","Jan Oblak, Gianluigi Buffon, Claudio Andrés Bravo Muñoz, Manuel Neuer, Koen Casteels","Here is the radar chart for the best performing goalkeeper, Jan Oblak.",True
"List the top 5 wingers with the highest shot accuracy, who have played more than 850 minutes.","Gerard Deulofeu Lázaro, Andros Townsend, Wayne Routledge, Aaron Lennon, Lucas Vázquez Iglesias",Here is the radar chart for the player Gerard Deulofeu Lázaro.,True
Give me 4 attacking midfielders under 24 years old with the highest number of key passes per 90 minutes (minimum 850 minutes played).,"Hiroshi Kiyotake, Nadiem Amiri, Riccardo Saponara, Marco Asensio Willemsen",Here is the radar chart for Hiroshi Kiyotake's performance.,True
"Find 6 central midfielders with the highest number of progressive passes completed per 90 and key passes per 90, who have played more than 850 minutes.","Andrés Iniesta Luján, Thiago Alcântara do Nascimento, İlkay Gündoğan, Michael Carrick, Luka Modrić, Marcelo Brozović",The radar chart for Andrés Iniesta Luján has been generated based on his performance metrics.,True
